"class";"feature0";"feature1";"feature2";"feature3";"feature4";"feature5";"feature6";"feature7";"feature8";"feature9";"feature10";"feature11";"feature12";"feature13";"feature14";"feature15";"feature16";"feature17";"feature18";"feature19";"feature20";"feature21";"feature22";"feature23";"feature24";"feature25";"feature26";"feature27";"feature28";"feature29";"feature30";"feature31";"feature32";"feature33";"feature34";"feature35";"feature36";"feature37";"feature38";"feature39";
"blues";32.8453;-12.4546;-2.82849;0.191418;-1.40941;-2.21898;-1.44563;-0.278315;-0.447352;-1.03754;-1.27384;-1.66225;-1.80128;-1.4512;-1.00739;-1.40043;-1.15207;0.11743;2.30341;4.17786;5.48652;4.42148;0.884512;-1.51474;-1.64612;-2.99055;-3.55171;-0.727759;3.19916;3.4772;-1.33044;-5.39396;-3.80503;0.791378;1.96792;-0.246511;-2.02023;0.361574;2.37119;1.92811;
"blues";34.3863;-11.1555;-4.27682;-0.565033;-1.17449;-1.94504;-1.03682;-0.109937;-0.93579;-2.2669;-2.06125;-0.969339;-0.886115;-1.92605;-2.46037;-1.54916;-0.283806;0.723382;2.40551;4.52735;5.45003;4.07942;1.72691;-0.468064;-2.1458;-3.99604;-4.09963;-0.553021;3.84306;3.51232;-1.75174;-5.81238;-4.43953;0.706182;2.8404;0.0562786;-2.36849;-0.140996;2.80173;2.25072;
"blues";33.5771;-10.2556;-2.94252;-1.88132;-2.61092;-0.687018;0.00752404;-1.11751;-0.434833;-2.31185;-4.31994;-0.00333576;0.569026;-3.198;-2.99125;-0.230182;-1.45058;0.973884;3.99225;3.69362;3.98199;5.45066;2.94132;-1.24571;-2.78483;-3.33736;-4.68232;-1.08878;5.02324;3.66901;-2.87287;-6.03481;-3.79158;0.0891708;3.12934;0.388878;-2.14421;-0.514532;2.35219;2.88128;
"blues";33.1677;-9.91438;-5.10301;0.33406;0.0564673;-3.3424;-0.168788;-1.70336;0.395727;-2.37956;-2.48355;-2.46953;-1.73061;-0.664943;-2.09199;-0.822237;-0.983797;1.26586;1.51127;4.33463;7.1693;3.43351;2.53129;-1.95381;-1.51812;-3.38666;-3.90462;-0.632155;2.62708;3.67636;-1.77266;-6.18182;-4.26234;1.09843;2.26947;0.634464;-2.80624;0.447392;2.94398;1.87024;
"blues";41.0438;-14.654;-4.49973;0.532113;-0.7258;-2.07969;-2.14222;-1.26709;-0.410139;-1.32919;-3.85263;-3.09027;0.439853;-2.35041;-3.89585;0.265157;-0.467904;0.0525454;2.93334;5.85958;6.21965;5.55009;1.17158;-0.602083;-2.78006;-3.44534;-4.30793;-1.77252;4.03795;3.64689;-2.21163;-6.33173;-4.74854;0.142182;3.69911;0.0986886;-2.71741;0.0047993;3.59728;2.70738;
"blues";37.1493;-11.5856;-4.63618;-0.224201;-1.90531;-2.47332;0.313229;-0.276008;-2.17877;-2.35342;-2.0176;-1.6692;-2.19504;-1.44964;-1.97461;-0.884775;-1.0578;0.221073;3.47962;4.76049;5.77941;5.30529;1.80851;-0.90617;-2.54925;-3.43677;-5.07981;-0.969061;4.55565;3.72067;-2.17067;-7.10814;-4.27737;0.855602;2.98746;0.376556;-2.4385;-0.0449405;2.65245;2.53375;
"blues";38.4912;-13.1388;-4.56683;0.720348;0.141362;-2.94455;-3.42987;-0.87836;0.148229;-1.41598;-2.81588;-1.78198;-0.620022;-3.19683;-2.61926;-0.974888;-0.72372;0.554115;2.89372;5.88934;6.77889;4.44075;1.62679;-1.4481;-2.62127;-2.65959;-4.88509;-1.39422;3.99023;2.97863;-1.18953;-5.92894;-4.67369;0.258151;2.70515;-0.173243;-2.26408;0.0121904;3.84498;2.46629;
"blues";32.7531;-12.8344;-3.49306;-0.626545;-2.22789;-1.61109;0.62602;1.21368;-1.5154;-3.14357;-0.547447;0.544194;-1.44787;-2.42127;-0.962951;-0.287802;-0.842118;-1.27436;2.20077;4.6352;3.81575;2.33542;1.81951;0.617344;-2.04829;-3.91588;-4.14719;0.466381;4.54288;2.88807;-2.04833;-4.79111;-3.54411;0.299115;2.534;0.729496;-2.32572;-0.919478;2.08178;2.17293;
"blues";39.7887;-12.511;-4.99562;-1.05508;-1.44685;-2.41929;-0.6947;0.0792915;-1.14847;-2.45307;-3.71832;-0.919059;-0.259601;-2.29361;-3.49371;-1.07855;-0.107816;0.502974;2.5226;5.56098;6.32724;4.64053;2.12012;-0.426696;-2.36164;-5.37913;-5.05373;0.682288;3.87072;3.64244;-1.58353;-7.10377;-5.0342;0.526673;3.79023;0.389756;-2.92161;-0.0509631;2.80227;2.82546;
"blues";34.2543;-14.9873;-5.24984;-0.446593;-0.475001;-0.287454;0.297655;1.18434;1.42265;-4.196;-4.22067;-1.16407;0.675034;-0.0453013;-1.10373;0.04723;-0.0384493;-0.606056;0.773175;1.66425;3.03175;3.94696;3.01055;-1.45707;-1.64085;-1.92153;-3.66955;-0.0693137;3.94526;2.95507;-2.40025;-5.51384;-3.52186;1.31778;3.57733;0.725245;-2.4983;-1.1949;1.7855;1.47142;
"blues";34.2643;-11.7868;-3.26231;-0.495696;-1.76774;-1.92581;-1.76933;0.0551652;-0.4326;-1.0125;-1.67075;-3.14731;-0.911797;-0.904758;-2.34659;-0.781597;-0.0615502;-1.26074;1.76796;5.07896;7.65156;3.36583;0.2495;0.533255;-3.00725;-4.19426;-3.32194;0.241361;2.69853;3.78997;-1.72914;-5.3525;-4.39659;0.148485;3.05627;0.105122;-2.60757;-0.0533475;3.52248;1.29498;
"blues";35.2672;-10.9555;-5.08613;-1.58411;-1.50523;-1.92605;-0.822075;-0.0452404;0.0242927;-1.90027;-1.73012;-0.880255;-1.62814;-1.25595;-2.39902;-0.0748627;-1.38793;-1.17571;2.41555;5.40577;5.40587;4.49355;1.3074;-1.37786;-1.83012;-4.39538;-4.13208;-0.323911;4.8318;3.80808;-1.51601;-6.46109;-4.17662;0.498484;2.98058;0.596027;-3.07064;-0.168722;2.6278;2.4081;
"blues";39.4659;-13.0913;-4.97699;0.3206;-3.07241;-4.63761;-0.926196;3.60555;-0.382312;-4.10371;-3.22421;0.614076;0.180899;-1.68745;-3.74117;-2.86742;-0.370143;1.60973;2.66652;3.81327;5.45734;6.02781;2.39326;-0.446989;-4.79154;-5.2202;-4.04064;1.22172;4.70325;3.5073;-1.91688;-5.91046;-5.00783;0.693507;2.31303;0.668186;-1.96423;-0.506895;2.07935;2.67873;
"blues";37.7662;-12.1021;-5.9175;-1.56272;-1.08491;-0.867909;-0.174492;-0.565342;-0.877025;-1.904;-3.78601;-0.915978;0.0567723;-2.23376;-2.16842;-1.02883;-0.717103;1.4884;0.587338;5.20229;5.72917;3.88159;1.64504;0.186453;-2.11653;-4.6164;-4.46139;-0.325206;4.53038;3.6101;-1.51887;-6.81735;-5.51677;1.77681;3.61468;0.399264;-2.94179;-0.830041;3.24895;2.15782;
"blues";37.5695;-12.0488;-4.08609;-2.34297;-1.04836;-2.58977;-1.70644;0.14386;0.114132;-3.1545;-0.686843;0.423171;-1.68496;-1.42225;-3.38558;-3.47618;-0.122107;1.4841;2.78918;4.92501;4.85348;5.38412;1.87015;-1.51969;-2.58956;-4.49298;-4.27677;-0.937377;4.84559;4.95724;-1.64992;-6.87751;-4.11549;0.326616;2.74276;0.100766;-2.82068;-0.0209505;2.90383;2.74779;
"blues";36.0306;-11.2482;-4.10386;-0.83124;-0.980848;-1.8922;-2.01146;-0.567412;-1.16019;-2.60502;-0.754069;-0.69366;-1.59193;-2.80031;-2.44674;-2.05246;-0.947155;1.90245;3.03789;4.15499;7.49682;3.64168;0.385953;0.846616;-1.83224;-5.83467;-3.23966;-1.01969;3.18285;4.49414;-1.42984;-6.64697;-4.4416;0.773471;2.43757;0.0278807;-2.46209;0.0138899;3.25534;2.5035;
"blues";40.5373;-11.1077;-6.07493;-0.419268;-0.764004;-2.54594;-1.60478;0.101434;-1.53952;-3.70431;-2.62754;-2.20407;-1.30502;-3.54382;-1.75122;0.0161134;-1.54011;0.315105;3.54153;6.20181;7.1857;5.71314;1.10924;-0.22486;-2.0378;-5.46371;-5.0571;-0.598138;4.12032;3.7843;-2.29926;-7.51991;-5.22889;0.697309;3.84247;0.185262;-2.32507;-0.163947;2.88538;3.38505;
"blues";35.8038;-13.1865;-3.54518;-0.249077;1.08611;-1.84179;-1.95022;0.890212;-1.17175;-3.60353;-3.59054;-3.50672;-1.02159;-1.00297;-1.3733;0.0172331;0.291344;-0.55031;2.73361;4.05871;5.35458;5.09937;2.45105;-1.66212;-1.11867;-2.86804;-4.03588;-1.25966;3.0026;2.47441;-2.40134;-6.14436;-4.25023;1.25887;2.87723;0.654707;-2.05193;-0.37146;2.89588;2.00398;
"blues";36.5206;-12.1266;-3.37356;-2.23592;-0.953721;-1.754;1.25169;0.984778;-2.63591;-4.46327;-2.46151;-2.79622;-1.31686;0.335952;-2.15816;-2.07082;0.113905;2.39175;1.48549;3.20946;5.70546;4.85511;2.95499;0.017469;-3.16453;-3.4634;-4.49465;-0.88365;4.24827;3.40449;-2.53101;-7.50553;-4.60281;1.70651;3.75444;0.178741;-1.97622;-0.646445;2.446;1.99353;
"blues";28.1321;-9.31686;-3.38153;-0.519617;-1.05427;-1.7027;-0.645282;0.160245;-0.714908;-1.80398;-2.21676;-0.558815;-0.288648;-1.61699;-2.17828;-1.58437;0.258556;0.0218382;2.80609;2.61567;4.58578;3.37143;1.73133;-0.351941;-1.64285;-3.79903;-2.85333;-0.487126;3.24929;2.92702;-1.54468;-4.85891;-3.40284;0.518551;1.90614;0.577492;-2.45255;-0.095521;2.58942;1.398;
"blues";23.8824;-7.83478;-0.672268;-1.64129;-1.52597;-0.823937;0.312288;-0.870327;-1.95179;-0.554776;-2.33651;-1.16587;-0.803025;-1.75419;-0.852799;-2.12505;0.786669;0.463461;0.877414;4.53922;4.18557;2.18512;2.08907;0.0585151;-1.30291;-3.57907;-3.08842;0.203411;2.18317;2.4099;-1.40863;-4.62445;-2.96416;0.294662;1.69331;0.902243;-2.88095;0.705754;2.26591;0.981038;
"blues";27.5948;-9.38562;-1.91083;-1.27036;-0.992175;-1.06963;-1.28914;-0.149794;-0.973801;-2.60083;0.119213;-1.59235;-1.59581;-0.589852;-2.11461;-2.48828;0.180324;1.32389;2.02476;3.27373;4.61632;3.51845;1.27539;0.0350294;-2.10267;-2.98857;-3.00391;-1.21469;3.04753;3.53115;-1.96864;-4.55749;-3.76461;0.797775;2.05192;-0.377772;-1.90371;0.23532;2.42297;1.50973;
"blues";26.6659;-11.0561;-3.28613;-0.706705;-0.611795;-2.11017;-0.375831;-0.118969;0.67866;-0.739509;-0.41569;0.0623418;-0.138522;-1.51852;-1.7258;-0.912318;-1.09292;-0.0442353;0.670227;3.59439;3.06062;2.4963;0.568327;-0.0917593;-1.84467;-2.58602;-2.57876;-0.254486;3.66341;3.14842;-1.11907;-3.46225;-2.96672;-0.0853432;2.31247;-0.519528;-2.24936;-0.0103196;1.7539;1.65238;
"blues";28.4409;-8.89905;-3.36661;-0.664936;-1.20775;-1.828;-0.468655;-0.0921408;-0.865918;-1.73262;-2.34786;-0.605975;-0.35256;-1.69337;-2.36541;-1.68031;0.267274;0.405511;2.19311;3.91698;3.92452;4.02923;1.57298;-0.229677;-1.9223;-3.68721;-3.38577;-0.326058;3.59378;2.47262;-1.26529;-4.96792;-3.76778;0.452615;2.48093;-0.210612;-1.7564;-0.420594;2.70983;1.53706;
"blues";22.3828;-9.50325;0.444918;-0.543514;-0.298842;-1.17418;-0.53608;-1.95418;-1.38661;-0.736429;-0.701323;-0.0570489;-0.57276;-2.42885;-2.94729;-0.645055;0.518549;0.571117;1.72079;4.52697;2.83283;1.51206;0.58782;1.45549;-0.103958;-3.94311;-2.72667;0.16345;1.83845;0.780707;-0.136547;-2.57622;-3.82826;0.610163;1.37334;-0.984904;-0.988568;-0.0640653;2.48718;1.41508;
"blues";27.054;-8.51069;-2.62967;-1.29291;-0.956488;-1.53492;-1.09953;0.925579;-0.991406;-2.98673;-0.962681;-0.904368;-0.47428;-1.9111;-2.10596;-0.743089;-1.10429;1.18884;1.95465;3.88216;3.52663;3.81949;2.01188;-0.729544;-1.3695;-3.72072;-3.55216;0.0976155;3.24128;2.50593;-1.26901;-5.13638;-3.25201;0.609401;1.64168;0.546448;-2.0943;-0.0772755;2.13573;1.70707;
"blues";35.4389;-11.5202;-4.35005;-1.12229;-1.63837;-2.06057;-0.755774;0.405481;-0.994483;-2.20199;-1.93505;-0.855764;-0.798904;-1.60065;-2.71896;-1.69246;-0.260442;0.322563;2.45334;4.57613;5.34146;4.39105;1.72079;-0.533841;-2.58995;-4.06492;-4.4738;0.0884635;3.92736;4.12539;-2.01785;-5.93904;-4.5082;0.591159;3.12802;0.0297421;-2.44866;-0.275839;2.70945;2.30147;
"blues";21.0202;-9.98616;1.03527;-0.905466;-0.937086;-1.40658;-0.567192;0.714516;-0.963752;-1.35004;-1.04172;0.0071405;-1.36445;-2.06687;0.100136;-0.0768968;-1.32018;0.042037;0.74434;3.81282;2.78468;1.56386;1.36289;0.581309;-1.79737;-1.98015;-2.28049;-0.0407988;2.3833;1.54311;-1.62072;-2.75637;-1.5153;-0.720823;1.11524;0.326734;-1.32721;-0.384911;1.96728;1.03259;
"blues";31.9275;-9.74424;-4.38692;0.35367;-0.735601;-2.40924;-1.147;-0.198517;-1.23779;-2.0889;-2.30338;-1.19259;-0.530214;-2.84947;-1.79676;-1.2564;-0.891738;1.72498;1.91831;4.66562;5.56786;3.50482;2.11648;-0.649481;-1.67773;-4.10064;-3.40004;-1.2003;3.69843;2.80859;-1.65259;-5.43233;-4.0835;0.517379;2.38001;0.262397;-2.36243;0.287379;2.52363;2.35103;
"blues";24.9574;-8.81855;-0.450734;-2.86355;-0.954103;-0.863061;-0.791521;0.208535;-0.145326;-2.65604;-1.47974;0.444934;-2.14978;-0.99132;-0.339083;-2.86774;-0.312272;1.62131;1.05897;2.88999;4.40682;3.00469;1.30059;0.851702;-3.13462;-2.81852;-2.03572;-1.35124;3.24202;3.60953;-2.13076;-5.11695;-1.99195;0.209341;0.864224;1.48547;-2.40783;-0.852827;3.42696;0.603515;
"blues";34.9711;-10.1388;-3.8545;-0.895824;-1.32348;-1.93115;-1.30118;-0.58618;-1.14115;-2.56752;-2.55233;-1.36653;-0.770811;-2.08365;-3.22225;-1.89127;0.175891;1.14938;3.01597;4.953;5.86343;4.69671;2.09748;-0.506442;-2.51963;-4.27655;-4.3622;-0.89629;3.94879;3.45807;-1.97274;-6.18014;-4.70441;0.555839;2.96515;0.145561;-2.38741;-0.0236672;3.249;2.2806;
"blues";30.3261;-8.11533;-2.34023;-1.75376;-1.69607;-0.587837;-1.46143;-0.335061;-1.59105;-2.71372;-2.03738;-1.88211;-1.93939;-0.750668;-2.21216;-2.82713;0.918837;1.37873;1.98058;4.55848;6.32561;3.75645;2.12035;-0.0152673;-2.31211;-4.48758;-3.20882;-1.1508;3.03706;3.64126;-2.22642;-6.20112;-3.85532;0.340909;2.84402;0.265905;-2.32151;0.023031;3.31256;1.61186;
"blues";34.9611;-10.7341;-3.69317;-0.966515;-1.43138;-2.72786;-1.30491;0.942422;-0.704857;-3.24682;-3.01183;-0.480292;0.015298;-2.51395;-3.32835;-1.36631;-0.447586;0.893512;3.63225;3.93123;5.1857;5.45675;1.92158;-0.521208;-2.64129;-4.95632;-3.92095;-0.0731131;3.93178;3.39134;-2.17516;-5.65322;-4.59647;0.424813;2.75674;0.215748;-1.99715;-0.237111;2.53562;2.54768;
"blues";33.0693;-10.6186;-4.11518;-1.25287;-1.36112;-1.91338;-0.397845;0.662745;-0.595316;-3.0872;-2.35084;-0.406128;-1.02699;-1.84809;-1.64497;-1.12241;-0.85331;0.596842;1.91906;4.19585;5.19184;3.86873;1.94644;-0.189504;-2.45296;-4.26594;-3.54197;-0.405072;4.10316;3.61433;-2.31889;-5.72829;-3.89957;0.494558;2.73024;0.683057;-2.39312;-0.684911;2.75549;1.97171;
"blues";27.5524;-7.49708;-1.80768;-0.616202;-1.62197;-2.73942;-2.12562;0.483033;-1.11245;-1.63556;-1.38958;-0.890139;-1.40739;-2.21042;-1.89082;-2.52013;-0.912981;2.09611;2.17376;4.67117;5.44321;4.33478;1.56281;-0.80552;-2.60327;-3.80432;-3.22227;-0.55653;3.20732;2.59332;-1.08273;-5.10041;-3.40384;-0.330077;2.18262;-0.968083;-1.09852;0.556147;2.13336;2.18282;
"blues";27.192;-5.86049;-4.19792;-0.483496;-1.31157;-0.5345;-1.77304;-1.24078;-0.25103;-2.75262;-2.55985;-0.386097;-1.14086;-3.11566;-1.96332;-0.315897;-0.512993;0.135573;2.84077;5.37086;4.58312;3.95931;1.35043;0.0380005;-1.24692;-4.2604;-4.08345;-0.318848;3.3474;2.14395;-1.49987;-4.96309;-4.39412;0.617841;2.34805;0.0836084;-1.80248;-0.257932;2.77649;2.37831;
"blues";31.0414;-8.99394;-3.20361;-0.68806;-1.88466;-1.95795;-0.173355;-0.741913;-3.1014;-1.86732;0.889439;-1.4956;-1.36812;-1.67856;-3.23005;-3.2036;0.0396849;2.55706;2.76133;4.21884;5.30637;3.3224;2.04599;-0.338321;-1.56656;-4.43347;-4.06507;-0.97451;3.50573;3.9223;-1.29996;-6.02494;-4.23377;0.954853;2.16883;-0.508949;-2.11661;0.398466;2.71148;2.2404;
"blues";30.327;-8.11821;-2.02088;-0.882916;-2.77754;-2.39687;-0.562914;-0.0989113;-1.29187;-2.40308;-2.05305;-1.2458;-1.14751;-2.22896;-2.52146;-1.40022;-0.493205;0.495726;3.01675;5.31568;5.49221;4.66938;1.68647;0.00892485;-3.06001;-4.62867;-3.69814;-0.054523;3.4301;3.10756;-2.10486;-5.65401;-3.42673;-0.499803;2.25464;0.66939;-2.14905;-0.0258537;3.1241;1.7099;
"blues";32.445;-8.33211;-2.64017;-2.22343;-1.4634;-1.66767;-1.04939;0.0126806;-2.0555;-2.41685;-2.19373;-2.13806;-1.6274;-2.26013;-1.33957;-1.27408;-1.5987;1.75577;2.77549;4.46421;6.92571;4.96016;1.36053;-0.214156;-2.46178;-4.58767;-3.98094;-0.848831;3.67299;3.51568;-2.10585;-6.56595;-4.71829;1.10433;2.76671;-0.194591;-1.67235;0.0591887;2.45743;2.59469;
"blues";32.2607;-8.12993;-1.70573;-0.305202;-3.67304;-3.65188;-0.71634;1.39082;-1.54472;-5.18127;-0.696765;0.703101;-3.88125;-3.928;-0.58737;-0.565137;-1.50166;-0.776531;3.44556;7.59095;7.19354;2.87353;1.97022;1.43559;-3.70939;-6.35634;-3.92885;0.727591;4.21977;2.0632;-2.5581;-5.11013;-3.79129;-0.913475;1.6786;1.30724;-1.34616;-0.784673;2.89233;2.84244;
"blues";26.7086;-10.4089;-2.29968;-0.730699;0.275373;-2.1097;0.148517;-0.610274;-1.66521;-1.11257;-0.801123;-1.1922;-0.121698;-1.49196;-2.39361;-1.39391;-0.0298533;1.48855;1.03334;3.60185;3.53355;2.00066;2.15275;-0.300822;-1.10494;-2.51664;-3.54754;-0.46208;3.01917;2.10638;-0.745514;-4.25878;-3.66333;1.08151;1.76004;-0.334094;-1.67482;-0.54363;2.99211;0.957984;
"blues";33.3413;-10.7278;-4.20648;-0.534949;-1.06063;-1.96989;-1.13753;0.0587289;-0.821951;-2.40403;-1.93522;-0.996387;-0.857831;-1.8702;-2.29906;-1.63298;-0.28445;0.765305;2.44167;4.14475;5.49131;3.85934;1.96875;-0.755136;-1.90171;-4.08033;-3.71243;-0.802831;3.96552;3.21698;-1.55492;-5.79483;-4.26371;0.791417;2.49232;0.326974;-2.57893;0.15996;2.47097;2.3494;
"blues";30.3818;-10.2459;-3.12255;-1.02784;-0.488802;-1.94385;-1.26758;0.540501;-1.46065;-1.62205;-2.05194;-0.300234;-1.26749;-1.69473;-2.00171;-1.55298;-0.297692;0.682381;2.29272;3.79371;4.9412;3.27037;1.99851;-0.83569;-1.23804;-4.18758;-3.0032;-0.932923;3.56545;3.19376;-1.84468;-4.84379;-3.8943;0.393692;2.6839;-0.374888;-1.90599;-0.00150645;2.2309;2.20282;
"blues";26.9735;-10.5826;-0.678047;-0.039694;-0.170661;-1.78022;-2.03848;-0.617766;-1.44395;-1.51857;-0.396316;-1.01278;-1.71192;-1.55208;-2.37411;-1.81515;0.151144;1.21716;2.67271;3.49957;4.49643;3.3845;0.335603;0.439535;-0.969769;-3.30207;-3.22305;-0.256885;1.57699;2.16719;-0.35619;-4.43754;-3.5844;0.901536;1.19701;-0.790589;-1.18159;0.411551;2.40088;1.77711;
"blues";31.4302;-9.92982;-4.56946;-0.264133;-0.652478;-2.28863;-0.412743;-0.549193;-1.04868;-1.48132;-2.24734;-0.685854;-0.5247;-2.30571;-1.81009;-1.99316;0.0351387;0.695435;2.25371;4.12062;4.73264;3.79669;1.69265;-0.546547;-1.86276;-3.31354;-4.16278;-0.443144;3.63011;3.07553;-1.30099;-5.4888;-4.15931;0.758995;2.741;-0.488018;-1.71869;-0.592899;3.00504;1.87395;
"blues";38.2366;-12.5728;-4.81165;-0.557671;-1.13934;-2.37502;-0.95308;-0.337406;-0.740205;-2.76707;-2.07667;-1.08268;-1.03818;-2.20221;-2.4524;-1.78137;-0.335187;0.924321;2.36326;5.1844;6.07575;4.46312;1.63705;-0.418817;-2.32355;-4.5813;-4.26253;-0.780364;4.256;3.80982;-1.7562;-6.57086;-4.74001;0.718897;3.19148;0.164128;-2.64368;-0.092197;2.93725;2.60481;
"blues";29.8928;-10.1988;-2.80774;-1.80487;0.523281;-2.37091;-1.1627;0.0786822;-0.332722;-2.42595;-2.26291;0.591017;-1.82486;-1.09187;-2.63228;-1.43716;0.173617;0.459182;1.71063;4.87678;3.53551;3.92163;1.59456;-0.411899;-1.49469;-3.90293;-3.24854;-0.592947;3.46916;2.89796;-1.47596;-5.15228;-3.23561;-0.112797;2.6664;-0.093721;-1.84322;-0.71421;3.11052;1.65968;
"blues";27.8553;-9.21707;-2.10646;-1.23508;-1.38133;-1.84808;0.405066;-0.268367;-2.49387;-0.550501;-1.53097;-1.37162;-0.933261;-1.76053;-1.28941;-1.26577;-1.85697;2.00314;2.52182;2.38252;5.07434;3.69645;1.61581;-0.53086;-2.13116;-2.70339;-3.25952;-1.55302;3.89393;3.33521;-2.09208;-4.79831;-3.95119;1.21905;1.98813;-0.495539;-1.52718;0.0144692;2.11693;1.71954;
"blues";26.8569;-9.55138;-1.45319;-2.05475;-0.0767397;-1.30898;-1.16763;-0.878558;0.797757;-2.30222;-2.50216;0.193138;-1.27891;-1.92968;-1.28512;-0.628592;-1.14168;0.103591;3.41156;2.21844;4.24373;4.0252;1.51279;-1.09819;-1.52739;-2.20886;-3.92569;-0.420458;3.54112;1.91506;-0.778166;-4.96693;-3.46671;1.02342;1.63921;-0.267976;-1.32692;-0.24097;1.91473;2.12205;
